7.548772533200331e-002,	-3.600649e-001,
7.592342850056338e-002,	-5.284659e-001,
7.636377635651966e-002,	-6.606501e-001,
7.677019113410176e-002,	-7.461529e-001,
7.694460866635422e-002,	-7.683192e-001,
7.711179704465794e-002,	-7.778742e-001,
7.729527763709186e-002,	-7.784504e-001,
7.746361810146428e-002,	-7.685704e-001,
7.773740789615269e-002,	-7.303915e-001,
7.817919796632260e-002,	-6.277260e-001,
7.860885435050369e-002,	-4.848767e-001,
7.908667916580134e-002,	-2.836807e-001,
7.957496041580134e-002,	-5.147599e-002,
8.006324166580134e-002,	1.881071e-001,
8.050294384619630e-002,	3.920761e-001,
8.093546014213765e-002,	5.649449e-001,
8.137253528667388e-002,	6.996780e-001,
8.176550563857996e-002,	7.838741e-001,
8.193773928612962e-002,	8.058521e-001,
8.210625184043228e-002,	8.147897e-001,
8.231566932863484e-002,	8.132527e-001,
8.250519760673188e-002,	7.983739e-001,
8.281314770948911e-002,	7.467882e-001,
8.324153209249458e-002,	6.328567e-001,
8.367733427291201e-002,	4.723746e-001,
8.415911669774509e-002,	2.538140e-001,
8.464739794774509e-002,	8.184919e-003,
8.508436100215273e-002,	-2.152802e-001,
8.552579469553305e-002,	-4.264141e-001,
8.596055484830693e-002,	-6.036477e-001,
8.640001530592455e-002,	-7.403058e-001,
8.676803223752436e-002,	-8.187405e-001,
8.693627740881284e-002,	-8.395984e-001,
8.710724377754626e-002,	-8.475001e-001,
8.733938234206631e-002,	-8.427742e-001,
8.755216319045900e-002,	-8.212672e-001,
8.789740356458717e-002,	-7.524930e-001,
8.832932106744539e-002,	-6.215125e-001,
8.876858277559992e-002,	-4.428756e-001,
8.925686402559992e-002,	-2.051791e-001,
8.974514527559992e-002,	5.225278e-002,
9.020368195657717e-002,	2.922162e-001,
9.065307457915016e-002,	5.060792e-001,
9.108582964493492e-002,	6.752068e-001,
9.152308430189392e-002,	8.013591e-001,
9.180676729694501e-002,	8.553311e-001,
9.196204857338425e-002,	8.713821e-001,
9.214129870413210e-002,	8.771673e-001,
9.234372479950774e-002,	8.701723e-001,
9.256759252675492e-002,	8.437053e-001,
9.293052796565267e-002,	7.643750e-001,
9.336439393660052e-002,	6.227047e-001,
9.380547369029334e-002,	4.324621e-001,
9.429375494029334e-002,	1.837879e-001,
9.478203619029334e-002,	-8.255761e-002,
9.523614604936974e-002,	-3.254406e-001,
9.570715506798186e-002,	-5.503074e-001,
9.617507017045912e-002,	-7.285209e-001,
9.661248572825264e-002,	-8.476531e-001,
9.683196118930899e-002,	-8.852358e-001,
9.698535874302079e-002,	-8.983102e-001,
9.717569467258976e-002,	-9.019696e-001,
9.734814696893750e-002,	-8.935902e-001,
9.758314225406664e-002,	-8.618588e-001,
9.796377624058832e-002,	-7.716349e-001,
9.839975355137202e-002,	-6.197557e-001,
9.884243756244315e-002,	-4.188255e-001,
9.933071881244315e-002,	-1.604413e-001,
9.981900006244315e-002,	1.134019e-001,
1.002690106583558e-001,	3.579710e-001,
1.007572919083558e-001,	5.921375e-001,
1.012078007049728e-001,	7.615237e-001,
1.016490103330410e-001,	8.781725e-001,
1.018372932212450e-001,	9.087575e-001,
1.019952526947230e-001,	9.212685e-001,
1.021496459741855e-001,	9.238135e-001,
1.023300773304344e-001,	9.147026e-001,
1.025621145622350e-001,	8.832171e-001,
1.029380499859200e-001,	7.929006e-001,
1.033744553106984e-001,	6.384981e-001,
1.038177577808122e-001,	4.337490e-001,
1.043060390308122e-001,	1.703100e-001,
1.047943202808122e-001,	-1.092950e-001,
1.052446399833416e-001,	-3.595559e-001,
1.057316616418543e-001,	-5.983514e-001,
1.061967570939181e-001,	-7.770432e-001,
1.066370053484855e-001,	-8.957002e-001,
1.068249442224041e-001,	-9.266160e-001,
1.069831464078595e-001,	-9.392317e-001,
1.071365773268040e-001,	-9.416732e-001,
1.073168351316820e-001,	-9.322523e-001,
1.075489367306375e-001,	-9.000036e-001,
1.079249744440569e-001,	-8.077154e-001,
1.083622528442733e-001,	-6.498504e-001,
1.088062690895206e-001,	-4.407908e-001,
1.092945503395206e-001,	-1.724695e-001,
1.097828315895206e-001,	1.120719e-001,
1.102326523079985e-001,	3.662304e-001,
1.107202678305697e-001,	6.087338e-001,
1.111953397095700e-001,	7.931823e-001,
1.116350740299486e-001,	9.122081e-001,
1.118200886348496e-001,	9.423559e-001,
1.119803573243824e-001,	9.546524e-001,
1.121343254007659e-001,	9.565824e-001,
1.123076158272679e-001,	9.467885e-001,
1.125423005073785e-001,	9.128940e-001,
1.129224413479842e-001,	8.170031e-001,
1.133606937084932e-001,	6.549914e-001,
1.138055525085548e-001,	4.412369e-001,
1.142923897520036e-001,	1.690771e-001,
1.147806710020036e-001,	-1.196435e-001,
1.152291645219879e-001,	-3.761144e-001,
1.157174457719879e-001,	-6.210710e-001,
1.161965975830311e-001,	-8.078344e-001,
1.166361726082125e-001,	-9.264484e-001,
1.168175016055733e-001,	-9.554662e-001,
1.169803832978758e-001,	-9.671273e-001,
1.171447340037857e-001,	-9.682910e-001,
1.173031017204922e-001,	-9.582912e-001,
1.175433134365922e-001,	-9.215806e-001,
1.179322217429061e-001,	-8.199332e-001,
1.183715625694825e-001,	-6.527906e-001,
1.188174065953462e-001,	-4.336376e-001,
1.193056878453462e-001,	-1.560236e-001,
1.197939690953462e-001,	1.361290e-001,
1.202407528881415e-001,	3.933299e-001,
1.207290341381415e-001,	6.385891e-001,
1.212046754415699e-001,	8.228430e-001,
1.216443169539268e-001,	9.396078e-001,
1.218201925643130e-001,	9.667630e-001,
1.219865045697818e-001,	9.773222e-001,
1.221659616571673e-001,	9.767097e-001,
1.223285153987780e-001,	9.639130e-001,
1.225929497664260e-001,	9.173654e-001,
1.230200758849510e-001,	7.923748e-001,
1.235083571349510e-001,	5.895225e-001,
1.239505555710368e-001,	3.583997e-001,
1.244388368210368e-001,	7.096033e-002,
1.249271180710368e-001,	-2.232807e-001,
1.253671658992928e-001,	-4.713583e-001,
1.258554471492928e-001,	-7.048717e-001,
1.262983508673896e-001,	-8.642109e-001,
1.266789794560340e-001,	-9.555554e-001,
1.268427961051574e-001,	-9.775043e-001,
1.270165399270396e-001,	-9.850159e-001,
1.272386207005397e-001,	-9.776352e-001,
1.274551623697341e-001,	-9.502229e-001,
1.278064117175135e-001,	-8.660792e-001,
1.282449877699952e-001,	-7.084407e-001,
1.286897720980740e-001,	-4.973369e-001,
1.291285444666913e-001,	-2.506864e-001,
1.296168257166913e-001,	4.499914e-002,
1.300634040986160e-001,	3.128299e-001,
1.305060305296948e-001,	5.548325e-001,
1.309421407584919e-001,	7.515764e-001,
1.313837436205098e-001,	8.989662e-001,
1.316879035463366e-001,	9.658870e-001,
1.318461814280076e-001,	9.847742e-001,
1.320234757961892e-001,	9.912002e-001,
1.322328418532417e-001,	9.828911e-001,
1.324541259733889e-001,	9.533079e-001,
1.328129431740124e-001,	8.647566e-001,
1.332523888000327e-001,	7.032329e-001,
1.336979836027708e-001,	4.882458e-001,
1.341359488792017e-001,	2.393491e-001,
1.346242301292017e-001,	-5.826844e-002,
1.350690471789666e-001,	-3.254973e-001,
1.355212866805433e-001,	-5.717854e-001,
1.359580635165531e-001,	-7.664061e-001,
1.364003896007448e-001,	-9.109902e-001,
1.366856848334983e-001,	-9.718688e-001,
1.368412077648578e-001,	-9.895399e-001,
1.370202992835774e-001,	-9.953765e-001,
1.372232865947937e-001,	-9.866164e-001,
1.374469455108928e-001,	-9.558461e-001,
1.378095482298374e-001,	-8.635519e-001,
1.382978294798374e-001,	-6.788253e-001,
1.387378512668725e-001,	-4.610533e-001,
1.392102401784089e-001,	-1.873815e-001,
1.396985214284089e-001,	1.118322e-001,
1.401446770093649e-001,	3.766687e-001,
1.406301792782425e-001,	6.317552e-001,
1.410695897030486e-001,	8.138384e-001,
1.415134496477703e-001,	9.439541e-001,
1.417197139120563e-001,	9.815628e-001,
1.418750331910910e-001,	9.954836e-001,
1.420398849830339e-001,	9.986380e-001,
