1.229274273942493e-002,	9.758712e-005,
1.233902935824174e-002,	-1.555783e-005,
1.240285939309887e-002,	-1.824447e-004,
1.248197983129872e-002,	-4.019424e-004,
1.257424231306955e-002,	-6.654015e-004,
1.268659297419696e-002,	-9.829532e-004,
1.274806988960822e-002,	-1.149080e-003,
1.278854253900741e-002,	-1.252091e-003,
1.281733413978588e-002,	-1.321624e-003,
1.283863173871887e-002,	-1.370801e-003,
1.286011232154363e-002,	-1.418244e-003,
1.288958466975406e-002,	-1.480385e-003,
1.291631159523537e-002,	-1.533467e-003,
1.295967844361755e-002,	-1.613161e-003,
1.301135599891485e-002,	-1.699188e-003,
1.308305406798489e-002,	-1.805396e-003,
1.315974318413162e-002,	-1.907510e-003,
1.325569297412712e-002,	-2.028411e-003,
1.334971782025997e-002,	-2.149067e-003,
1.339878856349341e-002,	-2.216305e-003,
1.343260931673054e-002,	-2.266102e-003,
1.345835095003850e-002,	-2.306098e-003,
1.347789593968931e-002,	-2.337800e-003,
1.349876714955597e-002,	-2.372959e-003,
1.352175695367259e-002,	-2.413183e-003,
1.355089888967418e-002,	-2.466551e-003,
1.359811615158669e-002,	-2.557996e-003,
1.367318045369232e-002,	-2.711749e-003,
1.377376546638643e-002,	-2.923895e-003,
1.388374528517485e-002,	-3.150065e-003,
1.397311897543730e-002,	-3.318835e-003,
1.402627410021023e-002,	-3.407271e-003,
1.406033358518761e-002,	-3.456947e-003,
1.408511006786863e-002,	-3.489307e-003,
1.410427339336723e-002,	-3.511939e-003,
1.412805685272977e-002,	-3.537333e-003,
1.415043673606214e-002,	-3.558544e-003,
1.417980487366138e-002,	-3.581843e-003,
1.422738159263798e-002,	-3.611372e-003,
1.426958913966032e-002,	-3.629991e-003,
1.430497332710252e-002,	-3.639474e-003,
1.434042872253304e-002,	-3.643935e-003,
1.437577436561587e-002,	-3.644255e-003,
1.441227543634048e-002,	-3.641025e-003,
1.445084132951347e-002,	-3.634613e-003,
1.449875335958854e-002,	-3.624121e-003,
1.455001820031422e-002,	-3.611928e-003,
1.460788354062885e-002,	-3.599399e-003,
1.466618729030201e-002,	-3.589942e-003,
1.470487211749088e-002,	-3.586273e-003,
1.472552355189085e-002,	-3.585668e-003,
1.474740860094305e-002,	-3.586274e-003,
1.477541482209791e-002,	-3.588523e-003,
1.480269009218034e-002,	-3.592455e-003,
1.484693316929639e-002,	-3.602362e-003,
1.491756119385147e-002,	-3.623717e-003,
1.502459355124774e-002,	-3.658872e-003,
1.513544556606372e-002,	-3.685332e-003,
1.522906334902628e-002,	-3.689103e-003,
1.528004210621390e-002,	-3.678470e-003,
1.531492876492781e-002,	-3.663469e-003,
1.534023653606874e-002,	-3.648558e-003,
1.535914314101221e-002,	-3.634945e-003,
1.538216585377837e-002,	-3.615623e-003,
1.540613321303753e-002,	-3.592531e-003,
1.543491232382111e-002,	-3.560241e-003,
1.548155257849864e-002,	-3.499023e-003,
1.553499424041245e-002,	-3.417406e-003,
1.559176862502900e-002,	-3.318479e-003,
1.564452932220964e-002,	-3.216601e-003,
1.571299727809505e-002,	-3.074804e-003,
1.579416385050017e-002,	-2.901303e-003,
1.586901580639797e-002,	-2.741848e-003,
1.592403480627230e-002,	-2.628084e-003,
1.595910911224129e-002,	-2.558356e-003,
1.598036096817931e-002,	-2.517637e-003,
1.600186987553315e-002,	-2.477810e-003,
1.603123898102648e-002,	-2.425232e-003,
1.605800457060461e-002,	-2.379316e-003,
1.610143323859879e-002,	-2.309011e-003,
1.617083489772934e-002,	-2.204049e-003,
1.627634929336444e-002,	-2.052129e-003,
1.638097874424268e-002,	-1.898883e-003,
1.647339875117101e-002,	-1.751494e-003,
1.652868489810166e-002,	-1.652710e-003,
1.656591756737011e-002,	-1.579262e-003,
1.659271034359587e-002,	-1.522614e-003,
1.661264480275628e-002,	-1.478183e-003,
1.663498944215930e-002,	-1.426030e-003,
1.666134981392666e-002,	-1.361690e-003,
1.668923897067521e-002,	-1.289932e-003,
1.673446167045953e-002,	-1.166424e-003,
1.678786829665939e-002,	-1.011360e-003,
1.684503906228866e-002,	-8.351408e-004,
1.692230069191337e-002,	-5.860855e-004,
1.700928241465168e-002,	-3.010338e-004,
1.711124527481362e-002,	2.901578e-005,
1.716318039068280e-002,	1.911390e-004,
1.719859498452016e-002,	2.969415e-004,
1.722423973867666e-002,	3.708489e-004,
1.724338070654618e-002,	4.242955e-004,
1.726624686221583e-002,	4.862351e-004,
1.729076323203941e-002,	5.504969e-004,
1.731933840572517e-002,	6.222012e-004,
1.736565410012539e-002,	7.314974e-004,
1.743938084885500e-002,	8.925340e-004,
1.752434563677630e-002,	1.063973e-003,
1.762415061317777e-002,	1.256419e-003,
1.773968393540218e-002,	1.481252e-003,
1.779157745174111e-002,	1.587424e-003,
1.782696916762613e-002,	1.664089e-003,
1.785259935261895e-002,	1.721949e-003,
1.787173020152422e-002,	1.766604e-003,
1.789460309329719e-002,	1.821605e-003,
1.791909579928116e-002,	1.882284e-003,
1.794767976589768e-002,	1.955695e-003,
1.799400945746882e-002,	2.080039e-003,
1.806775702115808e-002,	2.287064e-003,
1.815283627221619e-002,	2.533271e-003,
1.825586551492317e-002,	2.829372e-003,
1.836240776421637e-002,	3.121151e-003,
1.841625585344085e-002,	3.257302e-003,
1.845271423199659e-002,	3.341859e-003,
1.847902043452302e-002,	3.398851e-003,
1.849861951732644e-002,	3.438856e-003,
1.852118295377770e-002,	3.482298e-003,
1.854676676943615e-002,	3.528499e-003,
1.857494503403072e-002,	3.575126e-003,
1.862062858053020e-002,	3.642498e-003,
1.867057406516927e-002,	3.705719e-003,
1.873289918232966e-002,	3.770471e-003,
1.880567797475025e-002,	3.831178e-003,
1.889324184922317e-002,	3.891596e-003,
1.900388615570652e-002,	3.962143e-003,
1.905319252649734e-002,	3.994894e-003,
